Project.name,Experiment.name,Experiment.date,Colony.name,Colony.country,Colony.latitude,Colony.longitude,Colony.species,Colony.ed50_value,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_01,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.86,2022-09-26_FJI_Tagaqe_Acrsam_01_28C_420min,2022-09-26,Winter,28,420,0.653,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_01,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.86,2022-09-26_FJI_Tagaqe_Acrsam_01_34C_420min,2022-09-26,Winter,34,420,0.616,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_01,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.86,2022-09-26_FJI_Tagaqe_Acrsam_01_37C_420min,2022-09-26,Winter,37,420,0.273,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_01,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.86,2022-09-26_FJI_Tagaqe_Acrsam_01_39C_420min,2022-09-26,Winter,39,420,0.004,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_01,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-11-24_FJI_Tagaqe_Acrsam_01_28C_420min,2022-11-24,Summer,28,420,0.636,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_01,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-11-24_FJI_Tagaqe_Acrsam_01_34C_420min,2022-11-24,Summer,34,420,0.637,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_01,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-11-24_FJI_Tagaqe_Acrsam_01_37C_420min,2022-11-24,Summer,37,420,0.214,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_01,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-11-24_FJI_Tagaqe_Acrsam_01_39C_420min,2022-11-24,Summer,39,420,0.002,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_02,FJI,-18.20167,177.66057,Acropora cf. samoensis,35.45,2022-09-26_FJI_Tagaqe_Acrsam_02_28C_420min,2022-09-26,Winter,28,420,0.621,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_02,FJI,-18.20167,177.66057,Acropora cf. samoensis,35.45,2022-09-26_FJI_Tagaqe_Acrsam_02_34C_420min,2022-09-26,Winter,34,420,0.619,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_02,FJI,-18.20167,177.66057,Acropora cf. samoensis,35.45,2022-09-26_FJI_Tagaqe_Acrsam_02_37C_420min,2022-09-26,Winter,37,420,0.002,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_02,FJI,-18.20167,177.66057,Acropora cf. samoensis,35.45,2022-09-26_FJI_Tagaqe_Acrsam_02_39C_420min,2022-09-26,Winter,39,420,0.002,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_02,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.78,2022-11-24_FJI_Tagaqe_Acrsam_02_28C_420min,2022-11-24,Summer,28,420,0.631,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_02,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.78,2022-11-24_FJI_Tagaqe_Acrsam_02_34C_420min,2022-11-24,Summer,34,420,0.644,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_02,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.78,2022-11-24_FJI_Tagaqe_Acrsam_02_37C_420min,2022-11-24,Summer,37,420,0.243,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_02,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.78,2022-11-24_FJI_Tagaqe_Acrsam_02_39C_420min,2022-11-24,Summer,39,420,0.008,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_03,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.62,2022-09-26_FJI_Tagaqe_Acrsam_03_28C_420min,2022-09-26,Winter,28,420,0.645,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_03,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.62,2022-09-26_FJI_Tagaqe_Acrsam_03_34C_420min,2022-09-26,Winter,34,420,0.632,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_03,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.62,2022-09-26_FJI_Tagaqe_Acrsam_03_37C_420min,2022-09-26,Winter,37,420,0.194,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_03,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.62,2022-09-26_FJI_Tagaqe_Acrsam_03_39C_420min,2022-09-26,Winter,39,420,0,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_03,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.8,2022-11-24_FJI_Tagaqe_Acrsam_03_28C_420min,2022-11-24,Summer,28,420,0.636,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_03,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.8,2022-11-24_FJI_Tagaqe_Acrsam_03_34C_420min,2022-11-24,Summer,34,420,0.583,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_03,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.8,2022-11-24_FJI_Tagaqe_Acrsam_03_37C_420min,2022-11-24,Summer,37,420,0.248,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_03,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.8,2022-11-24_FJI_Tagaqe_Acrsam_03_39C_420min,2022-11-24,Summer,39,420,0,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_04,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-09-26_FJI_Tagaqe_Acrsam_04_28C_420min,2022-09-26,Winter,28,420,0.629,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_04,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-09-26_FJI_Tagaqe_Acrsam_04_34C_420min,2022-09-26,Winter,34,420,0.652,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_04,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-09-26_FJI_Tagaqe_Acrsam_04_37C_420min,2022-09-26,Winter,37,420,0.221,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_04,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-09-26_FJI_Tagaqe_Acrsam_04_39C_420min,2022-09-26,Winter,39,420,0.006,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_04,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.55,2022-11-24_FJI_Tagaqe_Acrsam_04_28C_420min,2022-11-24,Summer,28,420,0.635,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_04,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.55,2022-11-24_FJI_Tagaqe_Acrsam_04_34C_420min,2022-11-24,Summer,34,420,0.652,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_04,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.55,2022-11-24_FJI_Tagaqe_Acrsam_04_37C_420min,2022-11-24,Summer,37,420,0.206,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_04,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.55,2022-11-24_FJI_Tagaqe_Acrsam_04_39C_420min,2022-11-24,Summer,39,420,0.025,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_05,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.91,2022-09-26_FJI_Tagaqe_Acrsam_05_28C_420min,2022-09-26,Winter,28,420,0.656,MSc thesis Elisa Jareis,2024,NA
