Project.name,Experiment.name,Experiment.date,Colony.name,Colony.species,Colony.country,Colony.latitude,Colony.longitude,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
Voolstra et al. 2021,AF,2018-08-07,AF1,Stylophora pistillata,SAU,22.29634,38.95914,AF1-30,2018-08-07,Wild,30,420,0.57,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF2,Stylophora pistillata,SAU,22.29634,38.95914,AF2-30,2018-08-07,Wild,30,420,0.604,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF3,Stylophora pistillata,SAU,22.29634,38.95914,AF3-30,2018-08-07,Wild,30,420,0.604,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF4,Stylophora pistillata,SAU,22.29634,38.95914,AF4-30,2018-08-07,Wild,30,420,0.613,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF5,Stylophora pistillata,SAU,22.29634,38.95914,AF5-30,2018-08-07,Wild,30,420,0.57,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF6,Stylophora pistillata,SAU,22.29634,38.95914,AF6-30,2018-08-07,Wild,30,420,0.523,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF7,Stylophora pistillata,SAU,22.29634,38.95914,AF7-30,2018-08-07,Wild,30,420,0.583,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF1,Stylophora pistillata,SAU,22.29634,38.95914,AF1-33,2018-08-07,Wild,33,420,0.585,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF2,Stylophora pistillata,SAU,22.29634,38.95914,AF2-33,2018-08-07,Wild,33,420,0.572,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF3,Stylophora pistillata,SAU,22.29634,38.95914,AF3-33,2018-08-07,Wild,33,420,0.575,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF4,Stylophora pistillata,SAU,22.29634,38.95914,AF4-33,2018-08-07,Wild,33,420,0.623,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF5,Stylophora pistillata,SAU,22.29634,38.95914,AF5-33,2018-08-07,Wild,33,420,0.557,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF6,Stylophora pistillata,SAU,22.29634,38.95914,AF6-33,2018-08-07,Wild,33,420,0.573,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF7,Stylophora pistillata,SAU,22.29634,38.95914,AF7-33,2018-08-07,Wild,33,420,0.608,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF1,Stylophora pistillata,SAU,22.29634,38.95914,AF1-36,2018-08-07,Wild,36,420,0.455,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF2,Stylophora pistillata,SAU,22.29634,38.95914,AF2-36,2018-08-07,Wild,36,420,0.557,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF3,Stylophora pistillata,SAU,22.29634,38.95914,AF3-36,2018-08-07,Wild,36,420,0.353,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF4,Stylophora pistillata,SAU,22.29634,38.95914,AF4-36,2018-08-07,Wild,36,420,0.566,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF5,Stylophora pistillata,SAU,22.29634,38.95914,AF5-36,2018-08-07,Wild,36,420,0.395,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF6,Stylophora pistillata,SAU,22.29634,38.95914,AF6-36,2018-08-07,Wild,36,420,0.374,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF7,Stylophora pistillata,SAU,22.29634,38.95914,AF7-36,2018-08-07,Wild,36,420,0.504,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF1,Stylophora pistillata,SAU,22.29634,38.95914,AF1-39,2018-08-07,Wild,39,420,0.031,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF2,Stylophora pistillata,SAU,22.29634,38.95914,AF2-39,2018-08-07,Wild,39,420,0.023,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF3,Stylophora pistillata,SAU,22.29634,38.95914,AF3-39,2018-08-07,Wild,39,420,0.002,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
